event,charge_mode,duration_minutes,km_driven,charge
0,0,53.00000086327555,84.29687537752417,-29.79999794134958
0,0,16.99999950155609,12.03124976282259,-3.4999998964494807
0,0,130.00000168969254,0.07812500019959677,0.3000015689878097
0,0,6.999999753081705,2.7500000747096744,-0.3000017215269821
1,240,552.9999982060459,0.0,60.000001370201446
0,0,48.99999898007558,78.859373609492,-21.600002287863717
0,0,2.9999999953926806,1.0468749617822597,-7.626958620221558e-08
0,0,140.0000035636779,79.68749927293551,-20.80000142314516
0,0,1.0000000279852121,0.03125000148991929,-7.626958620221558e-08
0,0,53.00000086327555,84.29687537752417,-29.79999794134958
0,0,16.99999950155609,12.03124976282259,-3.4999998964494807
0,0,130.00000168969254,0.07812500019959677,0.3000015689878097
0,0,6.999999753081705,2.7500000747096744,-0.3000017215269821
1,240,552.9999982060459,0.0,60.000001370201446
0,0,48.99999898007558,78.859373609492,-21.600002287863717
0,0,2.9999999953926806,1.0468749617822597,-7.626958620221558e-08
0,0,140.0000035636779,79.68749927293551,-20.80000142314516
0,0,1.0000000279852121,0.03125000148991929,-7.626958620221558e-08
1,120,1379.0000328350154,0.0,21.600002135324544
0,0,16.99999950155609,12.03124976282259,-3.4999998964494807
0,0,130.00000168969254,0.07812500019959677,0.3000015689878097
0,0,6.999999753081705,2.7500000747096744,-0.3000017215269821
1,240,552.9999982060459,0.0,60.000001370201446
0,0,48.99999898007558,78.859373609492,-21.600002287863717
0,0,2.9999999953926806,1.0468749617822597,-7.626958620221558e-08
0,0,140.0000035636779,79.68749927293551,-20.80000142314516
0,0,1.0000000279852121,0.03125000148991929,-7.626958620221558e-08
1,120,1379.0000328350154,0.0,21.600002135324544
0,0,17.999999972356083,8.062499665258079,-2.2999985993716336
0,0,130.00000168969254,0.07812500019959677,0.3000015689878097
0,0,6.999999753081705,2.7500000747096744,-0.3000017215269821
1,240,552.9999982060459,0.0,60.000001370201446
0,0,48.99999898007558,78.859373609492,-21.600002287863717
0,0,2.9999999953926806,1.0468749617822597,-7.626958620221558e-08
0,0,140.0000035636779,79.68749927293551,-20.80000142314516
0,0,1.0000000279852121,0.03125000148991929,-7.626958620221558e-08
1,120,1379.0000328350154,0.0,21.600002135324544
0,0,17.999999972356083,8.062499665258079,-2.2999985993716336
0,0,61.999998015439,86.24999717458076,-25.50000254040289
0,0,6.999999753081705,2.7500000747096744,-0.3000017215269821
1,240,552.9999982060459,0.0,60.000001370201446
0,0,48.99999898007558,78.859373609492,-21.600002287863717
0,0,2.9999999953926806,1.0468749617822597,-7.626958620221558e-08
0,0,140.0000035636779,79.68749927293551,-20.80000142314516
